lon,lat,distance_km,x_santiago_km,relief_m,resolution
-78.59838274932615,-33.45891,130.02503640227778,-736.1985918208719,-3270.281622911033,01m
-78.57681940700809,-33.45891,132.02542157769736,-734.1982066418635,-3316.707775202158,01m
-78.55525606469003,-33.45891,134.02580675311694,-732.1978214628551,-3381.5566571428462,01m
-78.53369272237197,-33.45891,136.02619192853768,-730.1974362838466,-3465.7410657681626,01m
-78.5121293800539,-33.45891,138.02657710395727,-728.1970511048384,-3571.046592991933,01m
-78.49056603773585,-33.45891,140.02696227937685,-726.1966659258298,-3670.4541886792467,01m
-78.46900269541779,-33.45891,142.02734745479643,-724.1962807468216,-3722.046101347731,01m
-78.44743935309972,-33.45891,144.027732630216,-722.1958955678132,-3661.8367835579043,01m
-78.42587601078166,-33.45891,146.0281178056356,-720.1955103888047,-3469.0370611859366,01m
-78.40431266846362,-33.45891,148.02850298105398,-718.1951252097978,-3137.744464150942,01m
-78.38274932614556,-33.45891,150.02888815647472,-716.1947400307893,-2784.786100539127,01m
-78.3611859838275,-33.45891,152.0292733318943,-714.194354851781,-2587.973580323484,01m
-78.33962264150944,-33.45891,154.02965850731388,-712.1939696727725,-2600.5492415094004,01m
-78.31805929919138,-33.45891,156.03004368273346,-710.1935844937641,-2790.537866846395,01m
-78.29649595687331,-33.45891,158.03042885815304,-708.1931993147557,-3148.6948832883945,01m
-78.27493261455525,-33.45891,160.0308140335738,-706.1928141357473,-3464.046475471649,01m
-78.2533692722372,-33.45891,162.03119920899337,-704.1924289567388,-3660.224472237255,01m
-78.23180592991913,-33.45891,164.03158438441295,-702.1920437777305,-3759.0406442048693,01m
-78.21024258760107,-33.45891,166.03196955983253,-700.191658598722,-3820.930949865271,01m
-78.18867924528301,-33.45891,168.0323547352521,-698.1912734197138,-3879.4488301887222,01m
-78.16711590296497,-33.45891,170.0327399106705,-696.1908882407066,-3936.3048660377244,01m
-78.1455525606469,-33.45891,172.03312508609125,-694.1905030616982,-3959.8849878706183,01m
-78.12398921832884,-33.45891,174.03351026151083,-692.1901178826897,-3888.5255097035033,01m
-78.10242587601078,-33.45891,176.0338954369304,-690.1897327036814,-3690.5921989218687,01m
-78.08086253369272,-33.45891,178.03428061235,-688.1893475246732,-3371.757391644305,01m
-78.05929919137466,-33.45891,180.03466578776957,-686.1889623456647,-3092.8909884098184,01m
-78.0377358490566,-33.45891,182.03505096318915,-684.1885771666563,-2938.7672943396296,01m
-78.01617250673854,-33.45891,184.0354361386099,-682.1881919876479,-2881.6529433962432,01m
-77.99460916442048,-33.45891,186.03582131402948,-680.1878068086395,-2880.393169811382,01m
-77.97304582210242,-33.45891,188.03620648944906,-678.187421629631,-2997.3944970350944,01m
-77.95148247978436,-33.45891,190.03659166486864,-676.1870364506227,-3110.258270619971,01m
-77.92991913746631,-33.45891,192.03697684028702,-674.1866512716156,-3168.3902485175277,01m
-77.90835579514825,-33.45891,194.0373620157066,-672.1862660926072,-3178.2249479784464,01m
-77.88679245283019,-33.45891,196.03774719112735,-670.1858809135988,-3152.3820471698064,01m
-77.86522911051213,-33.45891,198.03813236654693,-668.1854957345904,-3095.4451342317925,01m
-77.84366576819407,-33.45891,200.0385175419665,-666.1851105555819,-3031.320851482479,01m
-77.82210242587601,-33.45891,202.0389027173861,-664.1847253765736,-3031.313075202158,01m
-77.80053908355795,-33.45891,204.03928789280567,-662.1843401975652,-2999.204195148258,01m
-77.77897574123989,-33.45891,206.03967306822642,-660.1839550185568,-2845.059585714148,01m
-77.75741239892183,-33.45891,208.040058243646,-658.1835698395485,-2267.1259905659654,01m
-77.73584905660377,-33.45891,210.04044341906558,-656.1831846605401,-1763.5688867924707,01m
-77.71428571428571,-33.45891,212.04082859448516,-654.1827994815316,-1259.878571428303,01m
-77.69272237196765,-33.45891,214.04121376990474,-652.1824143025232,-757.8358247976872,01m
-77.6711590296496,-33.45891,216.04159894532313,-650.1820291235161,-535.4821312668336,01m
-77.64959568733154,-33.45891,218.04198412074388,-648.1816439445078,-505.9441803234578,01m
-77.62803234501348,-33.45891,220.04236929616346,-646.1812587654994,-646.9631716980624,01m
-77.60646900269542,-33.45891,222.04275447158304,-644.180873586491,-1079.634107547024,01m
-77.58490566037736,-33.45891,224.04313964700262,-642.1804884074826,-1479.5892169809654,01m
-77.5633423180593,-33.45891,226.0435248224222,-640.1801032284741,-1694.8913021563462,01m
-77.54177897574124,-33.45891,228.04390999784178,-638.1797180494657,-1866.0649916441876,01m
-77.52021563342318,-33.45891,230.04429517326253,-636.1793328704574,-1982.9737258759787,01m
-77.49865229110512,-33.45891,232.0446803486821,-634.178947691449,-1979.8557215633105,01m
-77.47708894878706,-33.45891,234.0450655241017,-632.1785625124406,-1922.7037549864954,01m
