OBJECTID_INT,dFSR_AALR_NAC_pct,dFSR_AALR_HAZ_pct
12956,1.6028106232630157,0.8019119782294105
12960,1.602957758067927,0.8019387819838627
12966,1.6085053714980826,0.8027348771716644
12979,1.599346609217389,0.8016819071294954
12981,1.5998056654635702,0.8030393499366354
12993,1.6005919849188792,0.8017532004300512
12999,2.2311303207610473,0.8647683320226105
14010,1.7010177024865174,0.773184887743735
14022,1.7114405448574512,0.7739551898724303
14039,1.7129180052211463,0.7742481303424025
14054,1.9170494214007887,0.8307221183347068
14057,1.716977701728988,0.7751546895832859
14095,1.7010048581294333,0.7731848506699955
14098,1.7151467447773752,0.7746321832035608
14114,1.9818020925866995,0.8811704161620293
14115,1.729197470594627,0.7990198731842547
14117,1.7070189181167368,0.7733539198888513
14128,1.7399825426540683,0.8069767448283767
14131,1.7122784515153,0.77406572107113
14153,1.7202095740409924,0.7765755593475717
14175,1.7206821411626085,0.7762509135230871
14193,1.9170115052663057,0.8307220840078128
15011,1.720218918487363,0.816961432236918
15025,1.5472142866904255,0.7999856752637242
15037,1.564951772939132,0.8113547747667388
15055,2.0897983500657547,0.8772752426940856
15078,1.548421307119964,0.7980170377679439
15079,1.6976716754807897,0.8070178212993624
15120,1.9432008873755415,0.8491619813398873
15133,1.5556291803178666,0.7985709473654022
15174,1.693183867440782,0.7912328925414539
15176,1.5377298267777861,0.7985949083855
15179,1.8554139637569662,0.7964494209839941
15219,1.850401133323014,0.7985663960432309
15257,1.5448136152157248,0.7982284372255173
15280,1.7895529132158432,0.7825238183691198
15291,1.8027283245812808,0.8036443773202137
15298,1.621272298096482,0.7888233400840744
15310,1.7706575173625132,0.7721984178146264
15311,1.9211749003682335,0.8015801672316043
15316,1.7968724766775999,0.799538400975029
15319,1.7692658712288833,0.7720111707698921
15340,1.7712886988565495,0.7722875214004252
15350,2.1054938050725887,0.903067858531352
15358,1.8734988004365387,0.8061458487884595
15360,1.9572961243426144,0.8528753178703166
15363,1.9317097896270183,0.8021134296528942
15364,1.770840201902408,0.7722210442566464
15367,1.7712719396113654,0.7723043177380777
15372,1.7628377921803753,0.7722082877178186
15375,1.769531418150566,0.7720541440782562
15377,1.771058059889287,0.7722500881433487
15380,1.922339328801507,0.8002307851396379
15384,1.7536347908165675,0.7699684511044455
15389,1.7667728831605278,0.7716966389718561
15399,1.7720394300700764,0.7723817299965047
15456,2.124701577271623,0.8960759925379933
15468,1.9569042585938186,0.8285045686447208
15470,1.9170124908266148,0.8307220841818702
15471,1.819470848366665,0.8016458803427324
15485,1.7267938413135915,0.7663791858972174
15499,1.7009479736877704,0.7731847523387899
15630,1.7475045028438896,0.7691303201728292
15638,1.731757660730399,0.7670482252519433
15639,1.7287046973545999,0.7666363308827192
15641,1.917733433306114,0.7985979483411885
